open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1580428800000,9525.67,9550.72,9351.00,9356.16,38336.562,1580450399999,362439313.78284,66233,17307.336,163661323.45893,0
1580450400000,9356.16,9422.04,9285.00,9338.56,36536.080,1580471999999,341932302.30554,66422,17320.673,162138454.88259,0
1580472000000,9337.85,9377.78,9220.00,9296.28,44588.844,1580493599999,414466963.35056,85596,22092.494,205386016.95063,0
1580493600000,9296.28,9438.00,9288.95,9364.51,27182.540,1580515199999,254460388.43370,48476,14032.900,131364937.61241,0
1580536800000,9395.00,9469.00,9335.00,9364.88,28496.334,1580558399999,267717963.45291,70546,13964.351,131227649.24541,0
1580558400000,9364.88,9430.00,9306.00,9389.27,33668.332,1580579999999,315257027.65554,69780,16994.788,159169599.20602,0
1580580000000,9388.71,9421.40,9354.52,9392.74,16160.315,1580601599999,151734161.27082,33766,8105.348,76114024.75157,0
1580601600000,9392.99,9394.01,9160.01,9319.00,44018.955,1580623199999,408916556.67595,86666,20572.067,191148847.68881,0
1580623200000,9318.29,9459.99,9294.33,9442.87,37545.617,1580644799999,352717653.33950,69647,20488.798,192499104.36695,0
1580644800000,9442.86,9489.92,9378.20,9441.03,39942.867,1580666399999,377163616.68459,73233,19705.786,186115060.46099,0
1580666400000,9441.12,9472.77,9325.00,9338.20,26895.538,1580687999999,253150939.96177,56326,12135.375,114284969.21426,0
1580688000000,9340.49,9647.61,9290.00,9409.39,65351.409,1580709599999,616824265.34925,129491,33466.627,315963873.88669,0
1580709600000,9409.39,9425.75,9304.00,9356.72,29296.961,1580731199999,274344358.04130,58544,13704.663,128343456.63917,0
1580731200000,9356.67,9378.82,9250.00,9305.10,42160.261,1580752799999,392831814.14447,83415,20746.973,193350538.99795,0
1580752800000,9305.08,9360.00,9263.00,9300.64,22240.754,1580774399999,207076396.19775,41783,11262.020,104869544.40364,0
1580774400000,9300.63,9368.00,9226.40,9296.76,31715.839,1580795999999,295049886.42365,52130,14989.847,139499080.85773,0
1580796000000,9296.68,9327.82,9114.00,9193.76,54611.996,1580817599999,503972035.52001,106115,26292.510,242769884.87933,0
1580817600000,9193.75,9242.93,9105.00,9227.25,44357.412,1580839199999,406938676.68826,86985,21901.116,200954078.64216,0
1580839200000,9227.26,9240.75,9153.00,9198.35,17158.655,1580860799999,157727734.51346,37273,8593.195,78997601.11367,0
1580860800000,9198.32,9290.00,9179.88,9280.01,24663.323,1580882399999,227634295.59655,46882,12849.149,118610708.13952,0
1580882400000,9280.01,9430.00,9237.40,9423.00,47915.029,1580903999999,447176850.59715,91932,26254.924,245087517.84513,0
1580904000000,9422.99,9587.95,9422.99,9575.89,69677.550,1580925599999,661665982.62030,112223,36143.079,343280261.15816,0
1580925600000,9575.92,9799.08,9573.45,9630.00,70055.795,1580947199999,678510247.62259,136295,36310.734,351661477.61440,0
1580947200000,9630.00,9673.15,9550.00,9646.95,39178.583,1580968799999,376614525.07358,66283,18558.447,178410804.89725,0
1580968800000,9646.77,9715.04,9612.30,9708.40,36257.377,1580990399999,350446640.02349,67347,18180.722,175758481.60525,0
1580990400000,9707.41,9884.00,9651.00,9781.63,92240.105,1581011999999,903093020.51767,170427,46100.059,451349765.27381,0
1581012000000,9781.63,9810.30,9662.00,9778.12,32880.302,1581033599999,320711142.93191,62896,16004.704,156152210.44002,0
1581033600000,9777.97,9867.30,9743.21,9761.57,36600.046,1581055199999,358919418.87227,68985,17515.878,171828651.68364,0
1581055200000,9763.82,9900.00,9750.00,9819.12,35667.184,1581076799999,350210827.98117,64671,18116.722,177907418.57376,0
1581076800000,9818.80,9855.35,9743.34,9790.50,37826.270,1581098399999,370694488.06298,72416,18258.192,178965248.58639,0
1581098400000,9790.50,9840.00,9736.66,9821.52,19647.267,1581119999999,192350355.97919,38006,9873.124,96677858.15276,0
1581120000000,9821.52,9837.31,9680.55,9772.12,29437.150,1581141599999,287137348.68704,52772,14168.402,138208398.43630,0
1581141600000,9773.56,9870.57,9761.10,9825.61,30431.144,1581163199999,298758011.78120,51573,15768.793,154837398.61249,0
1581163200000,9825.61,9898.57,9765.00,9872.41,41420.687,1581184799999,407736470.15567,75497,20795.000,204742535.91138,0
1581184800000,9872.40,9956.00,9827.58,9906.43,27978.288,1581206399999,276737400.64907,58741,14549.925,143936788.89330,0
1581206400000,9906.09,10150.00,9892.15,10109.21,47930.989,1581227999999,480591452.34280,94968,26005.727,260738784.88495,0
1581228000000,10109.20,10184.34,10070.00,10130.50,37146.270,1581249599999,376113912.28893,69822,18451.964,186849874.67279,0
1581249600000,10130.49,10161.50,10026.00,10108.01,35908.761,1581271199999,363062182.18343,65361,16897.667,170876154.34178,0
1581271200000,10108.00,10182.59,10070.00,10167.38,22420.993,1581292799999,226825785.04123,40582,11626.406,117641676.69752,0
1581292800000,10167.37,10213.56,9750.00,9849.94,53214.319,1581314399999,535987243.62963,86248,23148.676,233450049.33732,0
